record - leader,001,008,035,040,System Control Number,245,Title Information,260,Publication Information,310,Current Publication Frequency,336,337,338,653,650,710,264,996,998,500,856,247,580,775,300,490,700,773,991,022,250,981,692,246,900,505,210,340,982,321,130,041,655,546,983,966,110,665,711
00609nas  2200205u  4500,9924990430101480,030925q19791981be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002499043LBS01-Aleph^$ $ $a9883357^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9924990430101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aNinove-Zeg.,Ninove-Zeg.,^$ $ $aNinove$ $ $bCVP$ $ $c[1979]-[1981],Ninove,^$ $ $aUnknown,Unknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,^$ $7$2KADOC$ $ $aC8$ $ $xIdeologie en politiek$ $ $6(ODIS-HT),^$2$ $aCVP$ $ $cNinove$ $ $4oth,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,CVP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,[1979]-[1981],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00612nas  2200205u  4500,9924990710101480,030925d19799999be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002499071LBS01-Aleph^$ $ $a9883490^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9924990710101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aJabbeekse CVP-Zeg.,Jabbeekse CVP-Zeg.,^$ $ $aJabbeke$ $ $bCVP$ $ $c[1979]-?,Jabbeke,^$ $ $aUnknown,Unknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,^$ $7$2KADOC$ $ $aC8$ $ $xIdeologie en politiek$ $ $6(ODIS-HT),^$2$ $aCVP Jabbeke$ $ $4oth,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,CVP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,[1979]-?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00677nas  2200217u  4500,9924991320101480,030925q19791982be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002499132LBS01-Aleph^$ $ $a9883715^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9924991320101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aDoe mee : informatieblad CVP-sectie Wondelgem.,Doe mee : informatieblad CVP-sectie Wondelgem.,^$ $ $aWondelgem$ $ $bCVP$ $ $c[1979]-[1982],Wondelgem,^$ $ $aUnknown,Unknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $7$2KADOC$ $ $aC8$ $ $xIdeologie en politiek$ $ $6(ODIS-HT),^$2$ $aCVP Wondelgem$ $ $4oth,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,CVP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,[1979]-[1982],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00561nas  2200193u  4500,9924992340101480,030925q19781980be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002499234LBS01-Aleph^$ $ $a9884109^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9924992340101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aBliets.,Bliets.,^$ $ $aStaden$ $ $bCVP$ $ $c1978-[1980],Staden,^$ $ $aQuarterly,Quarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,^$ $7$2KADOC$ $ $aC8$ $ $xIdeologie en politiek$ $ $6(ODIS-HT),^$2$ $aCVP Staden$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,CVP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,1978-[1980],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00604nas  2200205u  4500,9924992350101480,030925q19791982be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002499235LBS01-Aleph^$ $ $a9884119^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9924992350101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aCVP Echo.,CVP Echo.,^$ $ $aMelle$ $ $bCVP$ $ $c[1979]-[1982],Melle,^$ $ $aUnknown,Unknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,^$ $7$2KADOC$ $ $aC8$ $ $xIdeologie en politiek$ $ $6(ODIS-HT),^$2$ $aCVP Melle$ $ $4oth,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,CVP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,[1979]-[1982],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00620nas  2200205u  4500,9924992400101480,030925q19791981be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002499240LBS01-Aleph^$ $ $a9884138^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9924992400101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aKijk CVP.,Kijk CVP.,^$ $ $aOeselgem$ $ $bCVP$ $ $c1979-[1981],Oeselgem,^$ $ $aQuarterly,Quarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,^$ $7$2KADOC$ $ $aC8$ $ $xIdeologie en politiek$ $ $6(ODIS-HT),^$2$ $aCVP Oeselgem-Dentergem$ $ $4oth,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,CVP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,1979-[1981],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00606nas  2200205u  4500,9924992440101480,030925q19781981be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002499244LBS01-Aleph^$ $ $a9884148^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9924992440101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$3$aDe kim.,De kim.,^$ $ $aDeinze$ $ $bCVP$ $ $c[1978]-[1981],Deinze,^$ $ $aQuarterly,Quarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,^$ $7$2KADOC$ $ $aC8$ $ $xIdeologie en politiek$ $ $6(ODIS-HT),^$2$ $aCVP Deinze$ $ $4oth,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,CVP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,[1978]-[1981],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00622nas  2200205u  4500,9924992470101480,030925q19781981be fr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002499247LBS01-Aleph^$ $ $a9884157^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9924992470101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aKontakt Ruiselede.,Kontakt Ruiselede.,^$ $ $aRuiselede$ $ $bCVP$ $ $c1978-[1981],Ruiselede,^$ $ $aSemiannual,Semiannual,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,^$ $7$2KADOC$ $ $aC8$ $ $xIdeologie en politiek$ $ $6(ODIS-HT),^$2$ $aCVP Ruiselede$ $ $4oth,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,CVP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,1978-[1981],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00611nas  2200205u  4500,9924993450101480,030925q19791980be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002499345LBS01-Aleph^$ $ $a9884571^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9924993450101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aCVP De Haan.,CVP De Haan.,^$ $ $aDe Haan$ $ $bCVP$ $ $c[1979]-[1980],De Haan,^$ $ $aUnknown,Unknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,^$ $7$2KADOC$ $ $aC8$ $ $xIdeologie en politiek$ $ $6(ODIS-HT),^$2$ $aCVP De Haan$ $ $4oth,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,CVP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,[1979]-[1980],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00615nas  2200205u  4500,9924993510101480,030925q19781982be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002499351LBS01-Aleph^$ $ $a9884589^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9924993510101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aIedereen zijn zeg.,Iedereen zijn zeg.,^$ $ $aEvergem$ $ $bCVP$ $ $c1978-[1982],Evergem,^$ $ $aUnknown,Unknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,^$ $7$2KADOC$ $ $aC8$ $ $xIdeologie en politiek$ $ $6(ODIS-HT),^$2$ $aCVP Evergem$ $ $4oth,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,CVP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,1978-[1982],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00881nas  2200217u  4500,9925011540101480,031002q19791980be qr|p||     0|||a|fre c,^$ $ $a(BeLVLBS)002501154LBS01-Aleph^$ $ $a9892963^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9925011540101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aFeuilles d'information de l'A.S.B.L. Visite aux malades dans les établissements hospitaliers.,Feuilles d'information de l'A.S.B.L. Visite aux malades dans les établissements hospitaliers.,^$ $ $aBruxelles$ $ $bVisite aux malades dans les établissements hospitaliers$ $ $c[1979]-[1980],Bruxelles,^$ $ $aQuarterly,Quarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,^$ $7$2KADOC$ $ $aC5$ $ $xMaatschappelijke organisaties en maatschappelijk leven$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $asociaal beleid$ $ $6(ODIS-TW)1835,^$2$ $aVisite aux malades dans les établissements hospitaliers$ $ $4oth,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.az,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,Visite aux malades dans les établissements hospitaliers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,[1979]-[1980],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00571nas  2200193u  4500,9925028500101480,031007q19771980be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002502850LBS01-Aleph^$ $ $a9900048^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9925028500101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aBierbeek CVP.,Bierbeek CVP.,^$ $ $aBierbeek$ $ $bCVP$ $ $c[1977]-[1980],Bierbeek,^$ $ $aUnknown,Unknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,^$ $7$2KADOC$ $ $aC8$ $ $xIdeologie en politiek$ $ $6(ODIS-HT),^$2$ $aCVP Bierbeek$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,CVP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,[1977]-[1980],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00654nas  2200217u  4500,9925047800101480,031014q19791982be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002504780LBS01-Aleph^$ $ $a9908446^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9925047800101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aCVP-contact.,CVP-contact.,^$ $ $aHeusden$ $ $bCVP$ $ $c[1979]-[1982],Heusden,^$ $ $aQuarterly,Quarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $7$2KADOC$ $ $aC8$ $ $xIdeologie en politiek$ $ $6(ODIS-HT),^$2$ $aCVP Destelbergen-Heusden$ $ $4oth,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.az,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,CVP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,[1979]-[1982],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00612nas  2200205u  4500,9925053600101480,031015q19781979be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002505360LBS01-Aleph^$ $ $a9911165^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9925053600101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aZegkrant CVP.,Zegkrant CVP.,^$ $ $aDadizele$ $ $bCVP$ $ $c1978-[1979],Dadizele,^$ $ $aUnknown,Unknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,^$ $7$2KADOC$ $ $aC8$ $ $xIdeologie en politiek$ $ $6(ODIS-HT),^$2$ $aCVP Dadizele$ $ $4oth,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.az,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,CVP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,1978-[1979],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00637nas  2200205u  4500,9918880260101480,971124q19762009be mr|p||     0|||a|fre c,^$ $ $a(BeLVLBS)001888026LBS01-Aleph^$ $ $a7245644^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918880260101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aVie spirituelle et amitié.,Vie spirituelle et amitié.,^$ $ $aTournai$ $ $bVie spirituelle et amitié$ $ $c[1976]-[2005],Tournai,^$ $ $aMonthly,Monthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $7$2KADOC$ $ $aC1$ $ $xKerken en religie$ $ $6(ODIS-HT),,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,Vie spirituelle et amitié,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,[1976]-[2005],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00606nas  2200193u  4500,9918880320101480,971124q19799999be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001888032LBS01-Aleph^$ $ $a7245656^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918880320101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aVakantiegenoegens informatie.,Vakantiegenoegens informatie.,^$ $ $aGent$ $ $bVakantiegenoegens. Gewest Gent$ $ $c[1979]-?,Gent,^$ $ $aUnknown,Unknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,^$2$ $aVakantiegenoegens. Gewest Gent$ $ $4oth,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,Vakantiegenoegens. Gewest Gent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,[1979]-?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00925nas  2200253u  4500,9918909900101480,971124q19799999be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001890990LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918909900101471$ $ $bLanguage of cataloging varies$ $ $erda based,,,^$0$3$aDe 5000$ $ $bperiodiek informatieblad voor de zelfstandigen uit het Meetjesland,De 5000,,,^$ $ $aQuarterly,Quarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $7$2KADOC$ $ $aC5$ $ $xMaatschappelijke organisaties en maatschappelijk leven$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $amiddenstand$ $ $6(ODIS-TW)1293^$ $7$2KADOC$ $ $aeconomie$ $ $6(ODIS-TW)2795^$ $7$2KADOC$ $ $amiddenstandsbeweging$ $ $6(ODIS-TW)2433^$ $7$2KADOC$ $ $avrije beroepen$ $ $6(ODIS-TW)2197,^$2$ $aNCMV. Gewest Eeklo$ $ $4oth,^$ $1$c1977-[1981]^$ $1$aEeklo$ $ $bNCMV. Gewest Eeklo$ $ $31977-[1981],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,periodiek informatieblad voor de zelfstandigen uit het Meetjesland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00648nas  2200193u  4500,9918927410101480,971209q19771983be br|p||     0|||a|fre c,^$ $ $a(BeLVLBS)001892741LBS01-Aleph^$ $ $a7267111^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918927410101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$3$aLa voix du désert à l'horeb.,La voix du désert à l'horeb.,^$ $ $aS.l.$ $ $bSoeurs ermites de la sanctification universelle$ $ $c[1977]-[1983],S.l.,^$ $ $aBimonthly,Bimonthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,^$2$ $aSoeurs ermites de la sanctification universelle$ $ $4oth,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,Soeurs ermites de la sanctification universelle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,[1977]-[1983],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00708nas  2200217u  4500,9918992340101480,971209q19771983be br|p||     0|||a|fre c,^$ $ $a(BeLVLBS)001899234LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918992340101471$ $ $bLanguage of cataloging varies$ $ $erda based,,,^$0$0$aVrijuit$ $ $bCVP-jongeren arro Aalst,Vrijuit,,,^$ $ $aQuarterly,Quarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $7$2KADOC$ $ $aC8$ $ $xIdeologie en politiek$ $ $6(ODIS-HT),^$2$ $aCVP-jongeren. Arrondissement Aalst$ $ $4oth,^$ $1$c1978-[1994]^$ $1$aAalst$ $ $bCVP-jongeren. Arrondissement Aalst$ $ $31978-[1994],^$ $ $aKADOC$ $ $bphysical$ $ $c202106$ $ $9local,,^$ $ $aOndertitel varieert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,CVP-jongeren arro Aalst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00559nas  2200181u  4500,9918992760101480,980112q19771987be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001899276LBS01-Aleph^$ $ $a7297476^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918992760101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aRadikaler.,Radikaler.,^$ $ $aS.l.$ $ $bCVP-jongeren. Arrondissement Leuven$ $ $c[1977]-[1987],S.l.,^$ $ $aUnknown,Unknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,^$2$ $aCVP-jongeren. Arrondissement Leuven$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,CVP-jongeren. Arrondissement Leuven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,[1977]-[1987],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00738nas  2200205u  4500,9918995340101480,980112q19791981be mr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001899534LBS01-Aleph^$ $ $a7298566^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918995340101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aStekel : maandblad van de CVP-jongeren van het arrondissement Mechelen.,Stekel : maandblad van de CVP-jongeren van het arrondissement Mechelen.,^$ $ $aMechelen$ $ $bCVP-Jongeren. Arrondissement Mechelen$ $ $c1979-[1981],Mechelen,^$ $ $aMonthly,Monthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,^$2$ $aCVP-Jongeren. Arrondissement Mechelen$ $ $4oth,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as,,,,,^$1$8$w(BeLVLBS)001899528LBS01-Aleph$ $ $tDe groene stekel$ $ $4780,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,CVP-Jongeren. Arrondissement Mechelen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,1979-[1981],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00617nas  2200205u  4500,9919048500101480,980127q19781988be mr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001904850LBS01-Aleph^$ $ $a7323180^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9919048500101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aKAJ. Leidingsblad.,KAJ. Leidingsblad.,^$ $ $aIeper$ $ $bKAJ. Arrondissement Ieper$ $ $c1978-[1988],Ieper,^$ $ $aMonthly,Monthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,^$2$ $aKAJ. Arrondissement Ieper$ $ $4oth,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,KAJ. Arrondissement Ieper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,1978-[1988],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00625nas  2200193u  4500,9919048590101480,980127q19781988be mr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001904859LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9919048590101471$ $ $bLanguage of cataloging varies$ $ $erda based,,,^$0$0$aContactblad vriendenkring KAJ-VKAJ.,Contactblad vriendenkring KAJ-VKAJ.,^$ $ $aS.l.$ $ $bKAJ-VKAJ. Verbond Ieper$ $ $c[1978]-[1987],S.l.,^$ $ $aUnknown,Unknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $7$2KADOC$ $ $aC7$ $ $xJeugd en sport$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $ajeugdbewegingen$ $ $6(ODIS-TW)951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,KAJ-VKAJ. Verbond Ieper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,[1978]-[1987],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
